timestamp,session_id,device_id,event_type,key,interval_ms
1777217792.8555245,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,space,146.03
1777217792.9821465,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,space,0.0
1777217793.07067,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,y,215.15
1777217793.1494765,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,y,0.0
1777217793.2546742,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,space,184.0
1777217793.3893328,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,space,0.0
1777217793.4372363,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,a,182.56
1777217793.5581663,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,space,120.93
1777217793.6138957,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,a,0.0
1777217793.7097106,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,u,151.54
1777217793.7340345,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,space,0.0
1777217793.8155715,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,u,0.0
1777217793.9344962,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,n,224.79
1777217794.070234,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,n,0.0
1777217794.2539828,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,backspace,319.49
1777217794.350666,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,backspace,0.0
1777217794.420774,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,backspace,166.79
1777217794.5091321,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,backspace,0.0
1777217794.512646,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,a,91.87
1777217794.5744255,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,u,61.78
1777217794.639135,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,a,0.0
1777217794.686888,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,u,0.0
1777217794.689173,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,space,114.75
1777217794.8137407,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,m,124.57
1777217794.8537226,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,space,0.0
1777217794.9262474,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,m,0.0
1777217795.0373285,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,o,223.59
1777217795.1419122,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,i,104.58
1777217795.2457695,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,n,103.86
1777217795.2648678,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,o,0.0
1777217795.2949388,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,i,0.0
1777217795.4124143,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,n,0.0
1777217795.452925,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,s,207.16
1777217795.5814779,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,s,0.0
1777217795.586221,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,space,133.3
1777217795.7736616,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,space,0.0
1777217795.8215349,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,shift_r,235.31
1777217795.8616104,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,1,40.08
1777217795.9898164,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,1,0.0
1777217796.0058813,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,shift_r,0.0
1777217796.2616405,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,shift,400.03
1777217796.382103,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,0,120.46
1777217796.478413,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,0,0.0
1777217796.5572836,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,0,175.18
1777217796.6697176,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,0,0.0
1777217796.709401,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,space,152.12
1777217796.8124683,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,shift,0.0
1777217796.8372765,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,space,0.0
1777217796.9012916,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,m,191.89
1777217797.0609856,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,m,0.0
1777217797.3091376,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,i,407.85
1777217797.4140863,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,i,0.0
1777217797.4949048,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,l,185.77
1777217797.5494468,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,l,0.0
1777217797.6380236,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,l,143.12
1777217797.7348967,session_20260426_163507_d68aa0,device_1b4e5cf7,key_release,l,0.0
1777217797.766323,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,i,128.3
1777217798.6763556,session_20260426_163507_d68aa0,device_1b4e5cf7,key_press,a,910.03
