timestamp,session_id,device_id,event_type,x,y,button,delta_x,delta_y,speed
1777217744.2356443,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1147,922,,,,11265.96
1777217744.2443094,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,1057,875,,,,11717.51
1777217744.252362,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,958,834,,,,13306.79
1777217744.2597291,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,849,789,,,,16006.73
1777217744.268256,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,741,756,,,,13244.03
1777217744.2758775,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,643,732,,,,13238.29
1777217744.2846854,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,559,708,,,,9918.52
1777217744.2922962,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,502,694,,,,7711.95
1777217744.2999468,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,466,677,,,,5203.77
1777217744.3079627,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,440,662,,,,3744.65
1777217744.3164964,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,413,647,,,,3619.4
1777217744.3254867,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,390,634,,,,2938.69
1777217744.3329709,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,384,625,,,,1445.27
1777217744.3449957,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,380,610,,,,1291.0
1777217744.3487365,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,374,576,,,,9229.43
1777217744.355947,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,368,530,,,,6433.63
1777217744.3644688,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,352,453,,,,9228.66
1777217744.371909,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,335,393,,,,8381.87
1777217744.3804405,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,315,328,,,,7971.26
1777217744.388273,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,293,267,,,,8279.06
1777217744.3958004,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,268,201,,,,9375.97
1777217744.4038332,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,238,139,,,,8574.43
1777217744.4118338,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,217,84,,,,7358.53
1777217744.4201705,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,196,35,,,,6394.6
1777217744.4278634,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,179,2,,,,4825.47
1777217744.4359145,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,173,-19,,,,2712.69
1777217744.4439087,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,165,-21,,,,1031.53
1777217744.4524362,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,157,-27,,,,1172.67
1777217744.4599514,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,153,-20,,,,1072.79
1777217744.468405,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,149,-17,,,,591.46
1777217744.4753997,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,141,-23,,,,1429.65
1777217744.4836109,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,136,-16,,,,1047.64
1777217744.4921577,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,132,-14,,,,523.25
1777217744.500364,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,128,-14,,,,487.43
1777217744.507378,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,127,-8,,,,867.23
1777217744.5162828,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,124,-9,,,,355.12
1777217744.5243943,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,123,-10,,,,174.35
1777217744.5320902,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,121,-11,,,,290.55
1777217744.5391028,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,121,-10,,,,142.6
1777217744.5483894,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,121,-13,,,,323.04
1777217744.5559514,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,116,-15,,,,712.14
1777217744.5641909,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,116,-15,,,,0.0
1777217744.5723708,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,112,-15,,,,489.0
1777217744.58039,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,111,-14,,,,176.35
1777217744.588352,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,111,-8,,,,753.58
1777217744.5959127,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,109,-7,,,,295.75
1777217744.604328,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,109,-1,,,,712.99
1777217744.6365983,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,110,0,,,,43.82
1777217744.6436038,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,113,5,,,,832.34
1777217744.6524334,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,114,6,,,,160.17
1777217744.6702752,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,114,7,,,,56.05
1777217744.674272,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_press,114,7,left,,,0.0
1777217744.851862,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_release,114,7,left,,,0.0
1777217745.4277015,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,115,7,,,,1.32
1777217745.443715,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,118,7,,,,187.34
1777217745.4522352,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,131,7,,,,1525.8
1777217745.459747,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,146,7,,,,1996.84
1777217745.467747,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,161,7,,,,1875.02
1777217745.4762642,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,176,7,,,,1761.13
1777217745.4837801,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,192,7,,,,2128.82
1777217745.4915836,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,209,7,,,,2178.53
1777217745.4998207,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,224,7,,,,1821.02
1777217745.5074885,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,237,7,,,,1695.41
1777217745.5152597,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,247,7,,,,1286.79
1777217745.5241566,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,254,7,,,,786.8
1777217745.5315056,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,258,7,,,,544.29
1777217745.5399683,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,259,7,,,,118.17
1777217745.5964296,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,264,7,,,,88.56
1777217745.604439,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,276,14,,,,1734.51
1777217745.6119525,session_20260426_163507_d68aa0,device_1b4e5cf7,mouse_move,297,23,,,,3040.83
